AGVH AGVD AGVA SCORE
2.08 3.47 3.58 1
1.72 3.73 5.05 2
4.47 3.77 1.79 3
1.43 4.42 7.62 2
1.94 3.38 4.07 2
1.25 6.04 10.83 4
2.41 3.27 2.97 1
2.57 3.17 2.83 2
1.85 3.62 4.32 4
1.89 3.5 4.29 2
2.18 3.31 3.53 2
1.43 4.46 7.87 2
1.58 4.34 5.45 1
2.22 3.35 3.37 1
1.88 3.78 3.89 2
8.25 5.06 1.39 1
1.57 3.99 6.42 3
1.27 6.17 10.83 5
2.72 3.47 2.59 1
1.92 3.62 4.15 2
1.16 8.08 18.33 3
1.46 4.47 7.21 1
1.92 3.57 4.02 1
1.25 6.25 11.92 1
2.03 3.48 3.76 4
1.72 3.82 5.01 1
1.26 6.29 11.33 1
1.1 10.5 25.5 2
1.14 8.42 21.5 2
1.41 4.85 7.33 2
1.15 7.96 19.08 4
1.12 8.71 24.5 3
2.49 3.32 2.91 2
2.04 3.47 3.7 1
1.5 4.45 6.46 1
1.69 3.67 5.46 1
2.42 3.22 3.11 1
1.31 5.34 10.7 4
1.74 3.62 5.2 2
1.35 5.06 8.75 1
1.72 3.7 4.92 1
4.52 3.68 1.8 1
2.41 3.21 3.13 1
1.32 5.33 10.12 2
2.28 3.31 3.28 3
1.44 4.42 7.83 2
2.15 3.51 3.38 4
1.36 5.29 8.42 3
2.64 3.03 2.96 2
1.87 3.79 4.02 5
2.36 3.19 3.26 1
1.91 3.47 4.26 2
2.14 3.32 3.62 1
2.33 3.21 3.28 1
1.34 5.02 10.17 4
1.66 3.82 5.5 1
1.14 8.67 19.67 5
2.71 3.12 2.79 1
1.33 5.24 9.58 2
1.17 7.17 17.75 4
2.86 3.19 2.53 1
1.85 3.47 4.38 1
1.23 6.22 12.17 2
8.67 4.78 1.39 1
1.14 8.75 17.5 5
2.15 3.21 3.75 2
1.21 7.12 13.5 1
5.18 4.12 1.64 1
1.36 5.1 9.12 2
9.92 5.02 1.34 1
1.11 10.33 24.0 3
1.97 3.38 4.16 1
1.84 3.4 4.98 1
2.18 3.46 3.36 3
1.24 6.67 12.08 1
1.24 6.34 12.25 3
2.16 3.34 3.6 1
2.16 3.36 3.52 2
2.86 3.17 2.64 1
2.69 3.0 2.96 1
2.48 3.17 3.07 1
2.14 3.36 3.57 1
1.43 5.02 6.88 2
1.28 5.83 11.25 1
2.47 3.52 2.82 2
1.86 3.43 4.76 4
2.08 3.19 4.07 2
1.41 4.76 8.41 3
1.28 5.54 12.17 3
2.11 3.42 3.59 2
2.05 3.37 3.86 1
1.19 6.71 18.58 1
1.88 3.4 4.58 3
4.83 3.82 1.75 1
1.2 6.92 16.33 5
1.19 7.04 17.58 1
2.3 3.3 3.26 4
1.18 7.5 16.0 1
1.25 6.08 13.08 2
1.7 3.67 5.41 2
1.82 3.53 4.75 1
1.93 3.38 4.32 1
1.1 10.58 23.33 1
2.51 3.19 3.01 1
2.62 3.02 3.0 2
2.63 3.02 2.96 1
1.28 5.96 10.83 4
7.08 4.3 1.5 1
2.29 3.17 3.47 1
2.3 3.42 3.23 1
1.28 5.79 11.92 1
1.25 6.13 13.08 2
1.25 6.12 13.0 1
1.38 4.9 8.75 1
1.53 4.46 6.08 3
1.72 3.63 5.38 2
2.61 3.12 2.94 1
1.1 10.67 23.5 4
2.29 3.21 3.42 2
1.2 6.92 16.83 2
1.16 8.0 18.42 5
1.36 5.02 9.33 3
2.52 3.43 2.81 1
2.38 3.25 3.15 1
1.18 7.33 16.92 5
1.3 5.72 9.67 1
1.66 3.82 5.42 3
1.15 8.25 19.08 2
1.95 3.35 4.18 1
2.01 3.23 4.24 1
1.29 5.68 11.87 4
2.11 3.05 4.13 2
4.62 4.03 1.73 1
3.01 3.59 2.26 1
1.22 6.58 13.75 3
1.5 4.43 6.71 3
1.84 3.75 4.28 2
1.12 9.33 22.83 2
2.04 3.3 3.99 2
10.67 5.46 1.31 1
6.87 4.34 1.51 2
2.94 3.15 2.59 1
1.14 8.58 20.08 3
2.3 3.29 3.27 2
1.31 5.38 10.58 4
1.93 3.57 4.11 1
2.33 3.03 3.52 2
1.16 7.71 19.67 2
5.88 3.97 1.6 3
2.25 3.18 3.41 2
1.21 6.58 13.33 4
2.43 2.98 3.28 1
2.02 3.72 3.47 1
2.46 3.26 2.94 2
3.19 3.17 2.37 3
5.55 3.79 1.63 1
1.36 4.86 8.58 3
2.12 3.11 3.93 3
1.22 6.67 12.92 3
2.23 3.28 3.39 1
2.26 3.22 3.42 1
2.5 3.07 3.18 1
1.22 6.75 14.08 2
2.51 3.18 3.02 3
1.2 6.96 15.25 2
2.09 3.29 3.83 1
4.08 3.69 1.89 1
1.61 4.12 5.67 1
1.3 5.51 11.03 1
2.18 3.16 3.75 2
2.68 3.32 2.74 1
2.75 3.15 2.76 3
1.47 4.57 6.79 3
1.84 3.52 4.54 1
1.19 7.25 15.17 5
1.23 6.13 13.0 2
1.76 3.48 5.08 1
2.8 3.2 2.6 3
1.3 5.51 9.79 3
1.55 4.3 6.03 1
2.64 3.14 2.88 1
1.89 3.39 4.56 1
2.62 3.17 2.88 1
1.24 6.46 12.25 3
3.23 3.53 2.22 1
1.55 4.42 5.84 3
1.14 8.54 20.67 5
2.3 3.22 3.31 1
2.06 3.43 3.74 5
1.71 3.83 4.99 1
1.44 4.51 7.67 1
1.16 7.83 19.17 2
4.6 3.55 1.84 1
2.12 3.48 3.51 1
2.35 3.28 3.18 1
8.04 4.77 1.41 1
1.54 4.15 6.42 5
2.22 3.48 3.27 1
3.61 3.77 1.98 2
1.12 9.46 22.17 2
1.18 7.75 16.17 1
1.77 3.72 4.68 2
1.18 7.5 16.42 4
1.34 5.33 8.92 1
5.92 4.07 1.6 3
1.31 5.75 9.29 1
2.39 3.4 3.02 2
